ID_VENDA;DATA_VENDA;ID_FILIAL;ID_CLIENTE;VALOR_VENDA
1;01/10/2023;1;1456;150,00
2;02/10/2023;1;527;521,80
3;02/10/2023;1;1564;147,00
4;02/10/2023;1;1079;284,90
5;02/10/2023;1;1015;213,40
6;02/10/2023;1;255;143,10
7;02/10/2023;1;1524;776,00
8;02/10/2023;1;1800;339,50
9;02/10/2023;1;1411;259,20
10;02/10/2023;1;100;707,70
11;02/10/2023;1;158;538,50
12;02/10/2023;1;462;83,20
13;02/10/2023;1;1476;55,80
14;02/10/2023;1;635;67,90
15;02/10/2023;1;488;250,00
16;02/10/2023;1;1606;102,30
17;02/10/2023;1;806;84,25
18;02/10/2023;2;62;543,20
19;02/10/2023;2;128;196,70
20;02/10/2023;2;31;658,00
21;02/10/2023;2;497;58,20
22;02/10/2023;2;845;1.295,45
23;02/10/2023;2;75;400,00
24;02/10/2023;2;186;278,40
25;02/10/2023;2;53;25,00
26;02/10/2023;2;150;493,70
27;02/10/2023;2;1367;471,30
28;02/10/2023;2;32;1.010,40
29;02/10/2023;2;96;116,40
30;02/10/2023;2;22;116,40
31;02/10/2023;2;170;662,60
32;02/10/2023;3;545;1.200,00
33;02/10/2023;3;851;354,60
34;02/10/2023;3;2063;222,90
35;02/10/2023;3;1478;1.267,00
36;02/10/2023;3;2383;252,20
37;02/10/2023;4;448;276,40
38;02/10/2023;4;152;81,70
39;02/10/2023;4;232;120,00
40;02/10/2023;4;306;472,50
41;02/10/2023;5;2065;591,70
42;02/10/2023;5;2583;488,20
43;02/10/2023;5;1383;480,00
44;02/10/2023;5;2755;465,60
45;02/10/2023;5;689;329,80
46;02/10/2023;5;381;271,60
47;02/10/2023;5;946;600,00
48;02/10/2023;5;787;521,00
49;02/10/2023;5;2718;139,50
50;02/10/2023;5;1201;397,70
51;02/10/2023;5;257;330,00
52;02/10/2023;5;1712;271,60
53;03/10/2023;1;2;271,60
54;03/10/2023;1;834;526,20
55;03/10/2023;1;5;261,90
56;03/10/2023;1;419;514,10
57;03/10/2023;1;1431;1.740,40
58;03/10/2023;1;1474;1.189,25
59;03/10/2023;1;903;979,50
60;03/10/2023;1;954;1.358,00
61;03/10/2023;1;966;160,00
62;03/10/2023;1;172;265,75
63;03/10/2023;1;709;160,00
64;03/10/2023;1;173;207,90
65;03/10/2023;1;323;261,90
66;03/10/2023;1;1092;490,00
67;03/10/2023;1;1727;270,00
68;03/10/2023;1;1498;325,80
69;03/10/2023;1;85;110,00
70;03/10/2023;1;1488;73,25
71;03/10/2023;2;152;48,50
72;03/10/2023;2;1486;349,20
73;03/10/2023;2;442;532,45
74;03/10/2023;2;86;430,00
75;03/10/2023;2;22;320,10
76;03/10/2023;2;181;678,20
77;03/10/2023;2;193;183,00
78;03/10/2023;2;190;24,25
79;03/10/2023;2;148;979,70
80;03/10/2023;2;157;495,00
81;03/10/2023;2;139;787,20
82;03/10/2023;2;163;873,00
83;03/10/2023;2;184;24,00
84;03/10/2023;2;1334;99,00
85;03/10/2023;2;169;813,40
86;03/10/2023;2;1730;48,50
87;03/10/2023;2;82;60,00
88;03/10/2023;3;1385;176,40
89;03/10/2023;3;2208;135,80
90;03/10/2023;3;2293;802,70
91;03/10/2023;3;945;87,30
92;03/10/2023;3;1100;500,00
93;03/10/2023;3;2039;465,60
94;03/10/2023;3;668;116,40
95;03/10/2023;4;418;120,00
96;03/10/2023;4;303;350,40
97;03/10/2023;4;412;945,30
98;03/10/2023;4;116;407,40
99;03/10/2023;5;2197;778,50
100;03/10/2023;5;98;340,60
101;03/10/2023;5;2608;25,00
102;03/10/2023;5;1174;837,00
103;03/10/2023;5;839;145,50
104;04/10/2023;1;1654;48,00
105;04/10/2023;1;1105;878,20
106;04/10/2023;1;377;242,75
107;04/10/2023;1;435;249,20
108;04/10/2023;1;1499;733,00
109;04/10/2023;1;1343;829,50
110;04/10/2023;1;1552;205,20
111;04/10/2023;1;1316;227,30
112;04/10/2023;1;1764;290,00
113;04/10/2023;1;1195;842,80
114;04/10/2023;1;718;315,80
115;04/10/2023;1;1721;507,40
116;04/10/2023;1;1371;79,20
117;04/10/2023;1;1105;288,50
118;04/10/2023;1;28;734,40
119;04/10/2023;1;4;1.036,00
120;04/10/2023;1;443;48,50
121;04/10/2023;1;1326;310,40
122;04/10/2023;1;1842;252,20
123;04/10/2023;1;940;800,70
124;04/10/2023;1;1021;728,50
125;04/10/2023;1;15;1.684,50
126;04/10/2023;1;331;339,50
127;04/10/2023;1;155;71,50
128;04/10/2023;1;205;339,50
129;04/10/2023;1;142;2.047,50
130;04/10/2023;1;62;987,50
131;04/10/2023;1;550;213,40
132;04/10/2023;1;1848;480,00
133;04/10/2023;1;1931;97,00
134;04/10/2023;1;1034;556,75
135;04/10/2023;1;1025;879,20
136;04/10/2023;1;643;176,40
137;04/10/2023;1;1763;355,80
138;04/10/2023;1;19;734,60
139;04/10/2023;1;812;145,50
140;04/10/2023;2;188;805,10
141;04/10/2023;2;665;110,00
142;04/10/2023;2;128;100,00
143;04/10/2023;2;33;58,20
144;04/10/2023;2;263;89,10
145;04/10/2023;2;22;377,05
146;04/10/2023;2;1584;94,00
147;04/10/2023;2;1997;75,00
148;04/10/2023;2;90;378,00
149;04/10/2023;2;132;595,40
150;04/10/2023;2;99;873,00
151;04/10/2023;2;172;87,30
152;04/10/2023;2;122;120,00
153;04/10/2023;2;65;237,60
154;04/10/2023;2;100;735,60
155;04/10/2023;2;34;447,60
156;04/10/2023;2;25;1.746,00
157;04/10/2023;2;177;242,50
158;04/10/2023;2;165;58,20
159;04/10/2023;2;198;87,30
160;04/10/2023;2;398;585,00
161;04/10/2023;2;1573;120,00
162;04/10/2023;2;169;195,00
163;04/10/2023;2;178;1.358,00
164;04/10/2023;2;1061;155,20
165;04/10/2023;2;709;25,00
166;04/10/2023;2;151;920,30
167;04/10/2023;2;74;100,00
168;04/10/2023;2;187;200,00
169;04/10/2023;3;927;78,40
170;04/10/2023;3;848;1.090,00
171;04/10/2023;3;597;274,10
172;04/10/2023;3;1001;771,00
173;04/10/2023;3;2227;534,60
174;04/10/2023;3;1372;1.416,20
175;04/10/2023;3;1170;942,25
176;04/10/2023;3;1379;225,60
177;04/10/2023;3;2472;533,50
178;04/10/2023;3;2194;842,20
179;04/10/2023;3;1091;436,50
180;04/10/2023;3;2053;341,20
181;04/10/2023;3;743;50,00
182;04/10/2023;3;2439;261,30
183;04/10/2023;3;2398;1.432,20
184;04/10/2023;4;2864;600,00
185;04/10/2023;4;500;348,50
186;04/10/2023;4;411;289,10
187;04/10/2023;4;299;829,50
188;04/10/2023;4;448;1.076,80
189;04/10/2023;4;473;271,60
190;04/10/2023;4;408;919,10
191;04/10/2023;4;103;541,50
192;04/10/2023;4;167;90,00
193;04/10/2023;5;878;75,00
194;04/10/2023;5;982;1.103,40
195;04/10/2023;5;2157;94,00
196;04/10/2023;5;729;710,00
197;04/10/2023;5;2945;543,20
198;05/10/2023;1;1349;116,40
199;05/10/2023;1;8;214,60
200;05/10/2023;1;211;167,40
201;05/10/2023;1;1936;180,00
202;05/10/2023;1;661;48,50
203;05/10/2023;1;83;587,00
204;05/10/2023;1;1103;242,50
205;05/10/2023;1;138;298,30
206;05/10/2023;1;415;835,60
207;05/10/2023;1;881;55,80
208;05/10/2023;1;376;97,00
209;05/10/2023;1;1113;619,80
210;05/10/2023;1;1243;155,20
211;05/10/2023;1;1805;137,90
212;05/10/2023;1;919;240,00
213;05/10/2023;1;1901;90,00
214;05/10/2023;1;666;135,80
215;05/10/2023;1;8;150,00
216;05/10/2023;1;4;25,00
217;05/10/2023;2;156;337,40
218;05/10/2023;2;1848;25,00
219;05/10/2023;2;50;451,05
220;05/10/2023;2;114;50,00
221;05/10/2023;2;130;613,60
222;05/10/2023;2;34;784,20
223;05/10/2023;2;72;48,50
224;05/10/2023;2;140;854,00
225;05/10/2023;2;68;100,00
226;05/10/2023;2;199;353,40
227;05/10/2023;2;10;867,00
228;05/10/2023;2;133;58,80
229;05/10/2023;2;178;508,30
230;05/10/2023;2;123;321,10
231;05/10/2023;2;1528;750,00
232;05/10/2023;2;134;116,40
233;05/10/2023;2;88;120,00
234;05/10/2023;2;119;823,20
235;05/10/2023;2;97;117,60
236;05/10/2023;2;34;1.239,00
237;05/10/2023;2;197;49,50
238;05/10/2023;2;1091;48,50
239;05/10/2023;2;42;850,00
240;05/10/2023;2;567;201,40
241;05/10/2023;2;117;300,20
242;05/10/2023;2;1138;245,00
243;05/10/2023;2;1518;431,00
244;05/10/2023;2;124;435,90
