ID_VENDA;ID_PRODUTO;QUANTIDADE;VALOR_UNITARIO_VENDA_PRODUTO;VALOR_VENDA_PRODUTO
1;6;1;150,00;150,00
2;20;2;24,50;49,00
2;2;2;120,00;240,00
2;10;3;77,60;232,80
3;6;1;147,00;147,00
4;2;1;116,40;116,40
4;2;1;120,00;120,00
4;1;1;48,50;48,50
5;8;1;213,40;213,40
6;30;1;87,30;87,30
6;24;1;55,80;55,80
7;9;2;388,00;776,00
8;1;1;48,50;48,50
8;6;2;145,50;291,00
9;15;3;86,40;259,20
10;23;1;232,50;232,50
10;19;3;158,40;475,20
11;24;4;60,00;240,00
11;3;1;250,00;250,00
11;20;2;24,25;48,50
12;22;2;29,10;58,20
12;20;1;25,00;25,00
13;24;1;55,80;55,80
14;26;1;67,90;67,90
15;3;1;250,00;250,00
16;21;1;102,30;102,30
17;20;1;24,25;24,25
17;24;1;60,00;60,00
18;4;2;174,60;349,20
18;1;4;48,50;194,00
19;21;1;106,70;106,70
19;15;1;90,00;90,00
20;7;2;329,00;658,00
21;24;1;58,20;58,20
22;20;1;24,25;24,25
22;16;3;271,60;814,80
22;13;2;140,00;280,00
22;4;1;176,40;176,40
23;9;1;400,00;400,00
24;10;2;79,20;158,40
24;28;1;120,00;120,00
25;20;1;25,00;25,00
26;25;2;174,60;349,20
26;20;1;24,50;24,50
26;2;1;120,00;120,00
27;3;1;242,50;242,50
27;13;1;135,80;135,80
27;18;1;93,00;93,00
28;7;2;350,00;700,00
28;13;2;130,20;260,40
28;1;1;50,00;50,00
29;2;1;116,40;116,40
30;2;1;116,40;116,40
31;1;1;49,00;49,00
31;1;2;49,00;98,00
31;7;1;339,50;339,50
31;1;1;50,00;50,00
31;17;1;126,10;126,10
32;9;3;400,00;1.200,00
33;25;1;174,60;174,60
33;25;1;180,00;180,00
34;2;1;116,40;116,40
34;24;1;60,00;60,00
34;1;1;46,50;46,50
35;9;1;388,00;388,00
35;5;2;291,00;582,00
35;5;1;297,00;297,00
36;20;2;24,25;48,50
36;15;1;87,30;87,30
36;2;1;116,40;116,40
37;4;1;176,40;176,40
37;20;4;25,00;100,00
38;20;1;23,50;23,50
38;24;1;58,20;58,20
39;2;1;120,00;120,00
40;1;5;48,50;242,50
40;1;1;50,00;50,00
40;24;3;60,00;180,00
41;29;1;485,00;485,00
41;21;1;106,70;106,70
42;9;1;400,00;400,00
42;15;1;88,20;88,20
43;28;4;120,00;480,00
44;19;3;155,20;465,60
45;14;1;184,30;184,30
45;6;1;145,50;145,50
46;16;1;271,60;271,60
47;5;2;300,00;600,00
48;19;1;160,00;160,00
48;14;2;180,50;361,00
49;6;1;139,50;139,50
50;19;1;155,20;155,20
50;3;1;242,50;242,50
51;14;1;190,00;190,00
51;13;1;140,00;140,00
52;19;1;155,20;155,20
52;2;1;116,40;116,40
53;13;2;135,80;271,60
54;25;1;174,60;174,60
54;2;2;117,60;235,20
54;24;2;58,20;116,40
55;1;3;48,50;145,50
55;24;2;58,20;116,40
56;2;3;116,40;349,20
56;2;1;116,40;116,40
56;1;1;48,50;48,50
57;19;3;160,00;480,00
57;23;2;250,00;500,00
57;10;1;77,60;77,60
57;11;1;450,00;450,00
57;2;2;116,40;232,80
58;20;1;24,25;24,25
58;29;1;485,00;485,00
58;16;2;280,00;560,00
58;2;1;120,00;120,00
59;3;1;245,00;245,00
59;20;2;24,25;48,50
59;7;2;343,00;686,00
60;7;4;339,50;1.358,00
61;19;1;160,00;160,00
62;3;1;242,50;242,50
62;20;1;23,25;23,25
63;19;1;160,00;160,00
64;22;1;27,90;27,90
64;15;2;90,00;180,00
65;15;3;87,30;261,90
66;3;2;245,00;490,00
67;2;1;120,00;120,00
67;6;1;150,00;150,00
68;2;2;116,40;232,80
68;18;1;93,00;93,00
69;21;1;110,00;110,00
70;20;2;24,50;49,00
70;20;1;24,25;24,25
71;20;2;24,25;48,50
72;4;2;174,60;349,20
73;30;1;88,20;88,20
73;5;1;300,00;300,00
73;24;2;60,00;120,00
73;20;1;24,25;24,25
74;14;1;190,00;190,00
74;2;2;120,00;240,00
75;30;1;87,30;87,30
75;13;1;135,80;135,80
75;18;1;97,00;97,00
76;19;1;160,00;160,00
76;24;1;58,80;58,80
76;2;1;116,40;116,40
76;7;1;343,00;343,00
77;15;1;90,00;90,00
77;1;2;46,50;93,00
78;20;1;24,25;24,25
79;26;1;67,90;67,90
79;21;4;106,70;426,80
79;23;2;242,50;485,00
80;29;1;495,00;495,00
81;18;1;100,00;100,00
